 delta_p[0][1]  delta_p[0][2]  delta_p[0][3]  delta_p[0][4]  delta_p[1][0]  delta_p[1][2]  delta_p[2][0]  delta_p[2][1]  delta_p[3][0]  delta_p[3][4]  delta_p[4][0]  delta_p[4][3] 
 1.6518238127005702E-4  -2.0128875808111957E-4  1.5369757521455085E-4  -1.8726622974440943E-4  -2.177042645641336E-4  7.245364379571129E-7  1.4949579897560739E-4  -7.245364379571129E-7  -2.060308301281566E-4  6.73976529697029E-7  1.3567042552153907E-4  -6.73976529697029E-7 
 1.60840645456517E-4  -1.9571070681934088E-4  1.4922555963892137E-4  -1.8155012004683613E-4  -2.112727715477547E-4  7.044601382233395E-7  1.459759099553537E-4  -7.044601382233395E-7  -1.9946251435953855E-4  6.534010168479654E-7  1.320190317670722E-4  -6.534010168479654E-7 
 1.572334101886952E-4  -1.91041402633374E-4  1.4556450749125815E-4  -1.7683596819040304E-4  -2.0558115436486446E-4  6.876544453859879E-7  1.4335872598181254E-4  -6.876544453859879E-7  -1.937104774611953E-4  6.364320626062181E-7  1.2936353418524504E-4  -6.364320626062181E-7 
 0.0013112725907014067  -0.0015908910582211888  0.0012996668883573648  -0.0015765576740420784  -0.0012759789670653277  5.726492059210386E-6  0.0015432857886992224  -5.726492059210386E-6  -0.0012645322080118149  5.674948695855164E-6  0.0015291785102391486  -5.674948695855164E-6 
 0.0012633875951806317  -0.0015287516159432357  0.0012558457131319756  -0.0015193736485343834  -0.0012362274932264938  5.502251486433352E-6  0.0014919827048132106  -5.502251486433352E-6  -0.001228826687537321  5.468522374485474E-6  0.001482801179179205  -5.468522374485474E-6 
 0.001173408067199233  -0.00141618605864835  0.0011602578227609683  -0.0014000708591197508  -0.001152956509308467  5.0968093638914524E-6  0.0013884219134716602  -5.0968093638914524E-6  -0.0011399260007465273  5.0388510857146684E-6  0.001372477422350471  -5.0388510857146684E-6 
 0.001115559277089062  -0.0013429047885402667  0.0010935654530896954  -0.0013161842810234248  -0.0011005976122291372  4.832732276582874E-6  0.001322515705560079  -4.832732276582874E-6  -0.0010787035181465399  4.73663867239793E-6  0.001295942435618258  -4.73663867239793E-6 
 7.876071168553267E-4  -9.456965192953248E-4  7.545434519897753E-4  -9.058158730965715E-4  -8.034679476942586E-4  3.4030208340141144E-6  9.191909513930341E-4  -3.4030208340141144E-6  -7.702823696575933E-4  3.259588723381057E-6  8.795388330327114E-4  -3.259588723381057E-6 
 8.752349722804809E-4  -0.0010483220399812865  8.292073909501596E-4  -9.929794859857566E-4  -8.892827676696413E-4  3.7720642396266157E-6  0.0010247138212022833  -3.7720642396266157E-6  -8.431296959372503E-4  3.5730283940438312E-6  9.696168235109326E-4  -3.5730283940438312E-6 
 9.675428442470491E-4  -0.0011560293083938689  9.096196972109283E-4  -0.0010865732046596577  -9.797812499670044E-4  4.159329126451894E-6  0.0011353086304239923  -4.159329126451894E-6  -9.2172828448156E-4  3.909580158278914E-6  0.0010661153933284595  -3.909580158278914E-6 
 0.001056338225925657  -0.0012590205433120616  9.867415970603588E-4  -0.0011757828845873064  -0.0010667782173428009  4.5295864836703E-6  0.001241172645968902  -4.5295864836703E-6  -9.97047221574121E-4  4.2303277467681255E-6  0.001158215307896171  -4.2303277467681255E-6 
 9.830525172773719E-4  -0.0011688003644003686  9.018716703934615E-4  -0.0010720018822638622  -9.885234616326954E-4  4.204734967316881E-6  0.0011616559443297092  -4.204734967316881E-6  -9.072546589123931E-4  3.856725498962987E-6  0.0010649994782738759  -3.856725498962987E-6 
 0.0011447230948888887  -0.0013576326946704853  0.001050865257610667  -0.0012459740455881274  -0.001150173594677284  4.883515238418568E-6  0.0013503353194046497  -4.883515238418568E-6  -0.0010562006311971572  4.482171434005977E-6  0.001238867637880503  -4.482171434005977E-6 
 0.0013597374066094403  -0.0016086863153255138  0.0012483967998093703  -0.0014765241087104641  -0.0013646512566509728  5.7857124353688505E-6  0.001601793217691494  -5.7857124353688505E-6  -0.0012531639477515455  5.310821705961644E-6  0.0014698835321809156  -5.310821705961644E-6 
 0.0015905224150287722  -0.0018771442100522506  0.0014574682654853177  -0.001719565747634988  -0.0015942826629675722  6.750153627166355E-6  0.0018713399006387021  -6.750153627166355E-6  -0.0014610457992603187  6.184123037655809E-6  0.0017140900991989838  -6.184123037655809E-6 
 5.868221950215968E-4  -6.908913506151748E-4  4.290969913114395E-4  -5.050216725379642E-4  -5.894899670764175E-4  2.484024701487897E-6  6.942458877539082E-4  -2.484024701487897E-6  -4.314490677472804E-4  1.8159632730885278E-6  5.080150533700589E-4  -1.8159632730885278E-6 
 4.875637350245654E-4  -5.733585538720831E-4  3.04531768989591E-4  -3.5798762606020773E-4  -4.885884265526386E-4  2.06114217604636E-6  5.760370946390481E-4  -2.06114217604636E-6  -3.0514613467858E-4  1.2870617496218983E-6  3.601759197096044E-4  -1.2870617496218983E-6 
 3.3709931403436144E-4  -3.9594608886517335E-4  1.3004511517067385E-4  -1.526870759960275E-4  -3.3544973779342513E-4  1.4231757567984005E-6  3.972894581281139E-4  -1.4231757567984005E-6  -1.2787525085400375E-4  5.488154641852816E-7  1.5338559242650263E-4  -5.488154641852816E-7 
 1.3739117819255853E-4  -1.6118132642972682E-4  -9.040786920877508E-5  1.063503228948548E-4  -1.3186808496357116E-4  5.792668638093801E-7  1.604089027686939E-4  -5.792668638093801E-7  9.65781192689974E-5  -3.8241412880779535E-7  -1.079469983267245E-4  3.8241412880779535E-7 
 0.0023258421368836935  -0.0027252645063988723  0.002071813394152855  -0.002426553027959244  -0.002314505677276202  9.792129706198693E-6  0.0027302279493248705  -9.792129706198693E-6  -0.00205965768904548  8.72144300956279E-6  0.0024328680592304863  -8.72144300956279E-6 
