New Delhi Delhi IND
December to December - daily simulation
28.58
216
Temp	WindVel	WindDir	SDirR	SDiffR	DTemp	DWVel	DWDir	DSDirR	DSDiffR	omega	Domega	Declination
23.5	2.3	270	1075	38	-0.9	0.5	90	-624	161	0.0056	-0.0001	-23.35
22.6	2.8	360	451	199	-0.6	-0.5	-76	12	-31	0.0055	0.0003	-23.35
22	2.3	284	463	168	-1.5	-0.7	-99	-251	-9	0.0058	0.0005	-23.35
20.5	1.6	185	212	159	-1.1	-1	-163	-124	-75	0.0063	0.0009	-23.35
19.4	0.6	22	88	84	-2.4	-0.5	-22	-88	-84	0.0072	0.0003	-23.35
17	0.1	0	0	0	-2	-0.1	0	0	0	0.0075	-0.0001	-23.35
15	0	0	0	0	-2.6	0	0	0	0	0.0074	-0.0004	-23.35
12.4	0	0	0	0	-1.3	0	5	0	0	0.007	-0.0003	-23.35
11.1	0	5	0	0	-1.1	0.2	35	0	0	0.0067	-0.0005	-23.35
10	0.2	40	0	0	0.2	-0.2	-40	0	0	0.0062	0	-23.35
10.2	0	0	0	0	-0.2	0.1	12	0	0	0.0062	0.0001	-23.35
10	0.1	12	0	0	0.7	-0.1	-12	0	0	0.0063	0.0003	-23.35
10.7	0	0	0	0	-0.3	0	0	0	0	0.0066	0	-23.35
10.4	0	0	0	0	0.1	0	0	0	0	0.0066	-0.0001	-23.35
10.5	0	0	0	0	-1.2	0.1	10	0	0	0.0065	-0.0005	-23.35
9.3	0.1	10	0	0	-1.7	-0.1	-10	0	0	0.006	-0.0004	-23.35
7.6	0	0	0	0	-0.7	0.3	71	0	0	0.0056	0.0001	-23.35
6.9	0.3	71	0	0	0.7	0.4	110	0	0	0.0057	0.0001	-23.35
7.6	0.7	181	0	0	1.4	0.4	89	0	0	0.0058	0.0001	-23.35
9	1.1	270	0	0	3.1	0.3	68	246	55	0.0059	-0.0001	-23.35
12.1	1.4	338	246	55	3	0.1	9	497	4	0.0058	0	-23.35
15.1	1.5	347	743	59	3.1	0.2	-10	147	0	0.0058	0	-23.35
18.2	1.7	337	890	59	1.6	0.1	-31	94	-6	0.0058	-0.0001	-23.35
19.8	1.8	306	984	53	1.1	0.2	7	-2	6	0.0057	-0.0002	-23.35
20.9	2	313	982	59	-0.3	0.2	24	-790	197	0.0055	0.0001	-23.35
20.6	2.2	337	192	256	-0.2	0.1	-310	129	-50	0.0056	0.0001	-23.35
20.4	2.3	27	321	206	-1.2	-0.2	9	-183	-50	0.0057	0.0002	-23.35
19.2	2.1	36	138	156	-1.2	-0.4	324	-5	-67	0.0059	0.0004	-23.35
18	1.7	360	133	89	-2.2	-0.6	-113	-133	-89	0.0063	0.0002	-23.35
15.8	1.1	247	0	0	-2	-0.6	-127	0	0	0.0065	0.0001	-23.35
13.8	0.5	120	0	0	-2.2	-0.5	-120	0	0	0.0066	-0.0001	-23.35
11.6	0	0	0	0	-1.1	0	0	0	0	0.0065	-0.0003	-23.35
10.5	0	0	0	0	-0.9	0	0	0	0	0.0062	-0.0001	-23.35
9.6	0	0	0	0	0	0	0	0	0	0.0061	-0.0001	-23.35
9.6	0	0	0	0	-0.3	0.1	26	0	0	0.006	0	-23.35
9.3	0.1	26	0	0	0.2	0	10	0	0	0.006	0	-23.35
9.5	0.1	36	0	0	-0.5	-0.1	-36	0	0	0.006	-0.0001	-23.35
9	0	0	0	0	-0.1	0	0	0	0	0.0059	-0.0001	-23.35
8.9	0	0	0	0	-0.9	0	0	0	0	0.0058	-0.0001	-23.35
8	0	0	0	0	-0.8	0.6	225	0	0	0.0057	-0.0004	-23.35
7.2	0.6	225	0	0	-0.3	0.2	47	0	0	0.0053	0	-23.35
6.9	0.8	272	0	0	1	0.1	54	0	0	0.0053	0	-23.35
7.9	0.9	326	0	0	1.5	0.2	-11	0	0	0.0053	0.0002	-23.35
9.4	1.1	315	0	0	2.8	0.2	8	111	55	0.0055	0.0004	-23.35
12.2	1.3	323	111	55	2.5	0.5	-35	656	0	0.0059	0.0002	-23.35
14.7	1.8	288	767	55	2.7	0.4	4	224	-14	0.0061	0.0001	-23.35
17.4	2.2	292	991	41	1.5	0.5	-21	-354	97	0.0062	0	-23.35
18.9	2.7	271	637	138	1.3	0.2	40	296	-67	0.0062	0.0001	-23.35
20.2	2.9	311	933	71	0.4	-0.1	26	-275	70	0.0063	-0.0001	-23.35
20.6	2.8	337	658	141	0.5	-0.7	-296	-493	76	0.0062	0.0002	-23.35
21.1	2.1	41	165	217	-0.8	-0.7	-8	129	-66	0.0064	0.0004	-23.35
20.3	1.4	33	294	151	-1.1	-0.8	327	-282	-101	0.0068	0.0003	-23.35
19.2	0.6	360	12	50	-2.6	-0.5	-130	-12	-50	0.0071	0	-23.35
16.6	0.1	230	0	0	-2.5	-0.1	-111	0	0	0.0071	-0.0002	-23.35
